Name,OtherName,Elevation,Latitude,Longitude
Basin Mountain-Southwest Peak,,13240,37.291245,-118.67248
Mount Humphreys,,13986,37.27058,-118.672935
Mount Humphreys-Southeast Peak,,13360,37.2665,-118.670856
Mount Emerson,,13204,37.242587,-118.654303
Mount Henry,,12196,37.183325,-118.827265
Mount Reinstein,,12586,37.079394,-118.738354
Blackcap Mountain,,11550,37.072055,-118.793566
Pavilion Dome,,11856,37.230636,-118.809155
Mount Goethe,,13264,37.206123,-118.702112
Mount Lamarck,,13417,37.194943,-118.670641
Mount Mendel,,13710,37.174895,-118.682322
Mount Darwin,,13831,37.167128,-118.672471
Picture Peak,,13120,37.150795,-118.64922
Mount Haeckel,,13418,37.151097,-118.661025
Mount Wallace,,13377,37.14691,-118.656797
Mount Thompson,,13494,37.142988,-118.613482
Crumbly Spire,Mount Wallace-South Peak,13240,37.141179,-118.654348
Clyde Spires,,12955,37.140178,-118.648226
Mount Powell,,13364,37.138723,-118.634059
Mount Gilbert,,13106,37.136598,-118.598348
Mount Johnson,,12871,37.128501,-118.586354
Mount Goode,,13085,37.123065,-118.567961
The Hermit,,12328,37.162932,-118.718536
Mount McGee,,12944,37.138907,-118.737952
Mount Huxley,,13086,37.136094,-118.682801
Mount Fiske,,13503,37.136708,-118.667843
Mount Warlow,,13206,37.128502,-118.674625
Mount Solomons,,13034,37.106456,-118.674222
Mount Goddard,,13568,37.103548,-118.71946
Black Giant,,13330,37.102342,-118.6486
Charybdis,,13096,37.086715,-118.668219
Mount McDuffie,,13282,37.073538,-118.643972
Wheel Mountain,,12774,37.046691,-118.629378
Scylla,,12956,37.080103,-118.689724
Spanish Mountain,,10051,36.909093,-118.891464
Obelisk,,9705,36.907947,-118.853793
Finger Peak,,12404,37.029989,-118.730323
Kettle Dome,,9451,36.946981,-118.785871
Tehipite Dome,,7708,36.918776,-118.780776
Tunemah Peak,,11894,36.995382,-118.688268
Burnt Mountain,,10608,36.972247,-118.72851
Mount Agassiz,,13893,37.111931,-118.530694
Temple Crag,,12976,37.109743,-118.491239
Mount Winchell,,13775,37.104597,-118.526186
Mount Gayley,,13510,37.102912,-118.499867
Thunderbolt Peak,,14003,37.097404,-118.517255
Mount Sill,,14153,37.095968,-118.503212
North Palisade,,14242,37.09419,-118.514467
Polemonium Peak,,14080,37.093359,-118.511813
Mount Jepson,,13392,37.088879,-118.495121
Palisade Crest,,13553,37.081488,-118.489618
Norman Clyde Peak,,13855,37.074428,-118.474476
Middle Palisade,,14012,37.07021,-118.469096
The Thumb,,13356,37.071449,-118.446007
Disappointment Peak,,13917,37.067917,-118.4675
Birch Mountain,,13602,37.062766,-118.419014
Mount Bolton Brown,,13491,37.0461,-118.440937
Mount Prater,,13471,37.036763,-118.434671
Split Mountain,South Palisade,14058,37.020903,-118.422392
Vennacher Needle,,12995,36.998843,-118.474092
Cardinal Mountain,,13396,36.99948,-118.412729
Mount Ruskin,,12920,36.978497,-118.473314
Cloudripper,,13525,37.142626,-118.530622
Picture Puzzle Peak,,13280,37.127932,-118.538785
Gendarme Peak,,13252,37.126594,-118.53158
Aperture Peak,,13265,37.118132,-118.530441
Windy Peak,,8867,36.972491,-118.611172
Goodale Mountain,,12730,36.971985,-118.386292
Striped Mountain,,13179,36.965519,-118.403949
Marion Peak,,12719,36.95682,-118.522407
Mount Pinchot,,13494,36.947268,-118.40542
Mount Wynne,,13179,36.937954,-118.403007
Arrow Peak,,12959,36.928381,-118.490966
Colosseum Mountain,,12451,36.907362,-118.366853
Pyramid Peak,,12779,36.906566,-118.462097
Hogback Peak,,11080,36.876504,-118.711581
Mount Baxter,,13136,36.861513,-118.362139
Acrodectes Peak,,13182,36.860694,-118.375231
Wren Peak,,9450,36.838243,-118.792716
Mount Clarence King,,12861,36.833616,-118.446548
Diamond Peak,,13127,36.82634,-118.390288
Mount Mary Austin,,13051,36.815063,-118.362951
Black Mountain,,13291,36.809099,-118.378299
Mount Gardiner,,12907,36.806107,-118.459193
Glacier Monument,,11154,36.798381,-118.505321
Dragon Peak,,12927,36.789856,-118.37578
Mount Rixford,,12887,36.784945,-118.398926
Mount Gould,,13005,36.779954,-118.377976
Sentinel Dome,,9115,36.758857,-118.644779
Mitchell Peak,,10365,36.732248,-118.715123
Big Baldy,,8209,36.671881,-118.882482
Little Baldy,,8044,36.614456,-118.80456
Alta Peak,,11204,36.590563,-118.663388
Blue Mountain,,3204,36.550997,-119.076075
Moro Rock,,6725,36.544162,-118.764908
Ampitheater Dome,Castle Rocks High Point,9081,36.496257,-118.70241
Mount Stewart,,12200,36.569815,-118.555065
Eagle Scout Peak,,12000,36.545773,-118.561896
Mount Eisen,,12160,36.500521,-118.568677
Florence Peak,,12432,36.406147,-118.550838
The Sphinx,,9143,36.771226,-118.550416
Palmer Mountain,,11254,36.747934,-118.569228
North Guard,,13327,36.716628,-118.489935
Mount Brewer,,13570,36.708506,-118.485106
South Guard,,13232,36.693474,-118.483927
Deerhorn Mountain,,13281,36.713077,-118.410387
Mount Stanford,,13973,36.703911,-118.395807
Ericsson Crags,,13123,36.700193,-118.417283
Mount Ericsson,,13583,36.697153,-118.414492
Caltech Peak,,13832,36.688977,-118.39063
Mount Genevra,,13054,36.683374,-118.43431
Mount Jordan,,13343,36.682308,-118.449819
Thunder Mountain,,13517,36.669,-118.475768
Table Mountain,,13632,36.660519,-118.473747
Midway Mountain,,13665,36.643301,-118.48362
Milestone Mountain,,13638,36.634537,-118.484418
Centennial Peak,,13228,36.627616,-118.490225
Kern Point,,12730,36.596706,-118.444757
Triple Divide Peak,,12634,36.592881,-118.530862
Kaweah Queen,,13382,36.554709,-118.508538
Pyramidal Pinnacle,,13665,36.545368,-118.507825
Black Kaweah,,13680,36.545403,-118.515906
Koontz Pinnacle,,13600,36.544412,-118.507132
Red Spur,,13186,36.540648,-118.445213
Red Kaweah,,13720,36.539953,-118.505692
Squaretop,,13517,36.535786,-118.498391
Second Kaweah,,13661,36.533148,-118.493071
Mount Kaweah,,13802,36.526108,-118.478518
University Peak,,13589,36.748078,-118.361916
Mount Bradley,,13264,36.728617,-118.3387
Center Peak,,12730,36.721874,-118.362754
Mount Keith,,13976,36.700058,-118.343481
Junction Peak,,13888,36.691013,-118.366306
Polychrome Peak,,13018,36.672603,-118.334527
Mount Williamson,,14373,36.655936,-118.311094
Mount Tyndall,,14019,36.6556,-118.336968
Mount Tyndall-Southwest Peak,,13540,36.650762,-118.350208
Mount Versteeg,,13471,36.647586,-118.325567
Trojan Peak,,13947,36.642313,-118.315311
Mount Barnard,,13990,36.628369,-118.321564
Mount Barnard-East Peak,,13714,36.626043,-118.310792
Mount Carl Heller,,13225,36.611594,-118.298654
Tunnabora Peak,,13563,36.605085,-118.282265
The Cleaver,,13383,36.597453,-118.27474
Mount Carillon,,13553,36.592408,-118.277916
Mount Morgenson,Mount Russell-West Peak,13927,36.591603,-118.299852
Mount Russell,,14088,36.590085,-118.290796
Mount Hale,,13494,36.588007,-118.314432
Mount Young,,13176,36.581094,-118.327662
Mount Whitney,Fishermans Peak,14495,36.57855,-118.29239
Pinnacle Ridge,,13058,36.574056,-118.281653
Keeler Needle,,14239,36.575543,-118.291573
Mount Muir,,14012,36.564743,-118.291253
Lone Pine Peak,,12944,36.56187,-118.22575
Discovery Pinnacle,,13753,36.558387,-118.290302
Mount Irvine,,13780,36.55585,-118.263565
Mount Hitchcock,,13186,36.554923,-118.311861
Mount McAdie,,13799,36.551787,-118.27629
Mount Mallory,,13845,36.549018,-118.262147
Mount LeConte,,13930,36.541615,-118.25223
Mount Newcomb,,13422,36.540073,-118.293349
Mount Corcoran,,13714,36.538588,-118.2505
The Miter,,12770,36.535055,-118.264671
Mount Chamberlin,,13169,36.533734,-118.311157
Mount Pickering,,13474,36.527241,-118.291282
Mount Langley,,14026,36.523449,-118.239526
Joe Devel Peak,,13327,36.515394,-118.296643
Mount Guyot,,12300,36.508971,-118.362851
Cirque Peak,,12900,36.476939,-118.236958
Case Mountain,,6818,36.411234,-118.803207
Homers Nose,,9023,36.385043,-118.737775
Quinn Peak,,10178,36.334605,-118.589318
Dennison Mountain,,8650,36.318519,-118.746407
Sheep Mountain,,10040,36.308437,-118.625283
Moses Mountain,,9331,36.278582,-118.681038
Maggie Mountain,,10042,36.263844,-118.618614
Hatchet Peak,,3286,36.150671,-118.830072
The Needles,,8254,36.109483,-118.484686
Mule Peak,,8142,36.015943,-118.615261
Templeton Mountain,,9960,36.31477,-118.206779
Kern Peak,,11480,36.308517,-118.287613
Blackrock Mountain,,9635,36.179236,-118.278117
Monache Mountain,,9400,36.205507,-118.19648
Lookout Mountain,,9722,36.057896,-118.375724
Bald Mountain,,9382,36.019725,-118.254008
Sherman Peak,,9909,36.010202,-118.391079
Cannell Peak,,9470,35.86505,-118.361352
Cannell Point,Cannel Benchmark,8314,35.785863,-118.343186
Pilot Knob,,6200,35.72861,-118.212469
Muah Mountain,,11016,36.400517,-118.125226
Olancha Peak,,12123,36.265423,-118.118188
Ball Mountain,,9256,36.063826,-118.094094
Kennedy Peak,,7195,35.985559,-118.118259
Chimney Peak,,7994,35.86646,-118.042571
Owens Peak,,8453,35.738269,-117.997019
Mount Jenkins,,7921,35.708644,-117.992825
Morris Peak,,7215,35.690247,-117.987091
Five Fingers,,5174,35.688804,-117.909406
Tobias Peak,,8284,35.850176,-118.572606
Sunday Peak,,8295,35.782235,-118.58507
Bohna Peak,,6788,35.758347,-118.595773
Split Mountain,,6835,35.751661,-118.482283
Black Mountain,,7438,35.741693,-118.523979
Pine Mountain,,3920,35.562639,-118.76921
Pinyon Peak,,6805,35.682343,-118.089944
Onyx Peak,,5244,35.656925,-118.226652
Scodie Mountain,,7294,35.629443,-118.028214
Skinner Peak,,7120,35.566907,-118.126904
Mayan Peak,,6108,35.464266,-118.19499
Butterbredt Peak,,5997,35.383731,-118.153645
Nicolls Peak,,6070,35.619706,-118.297868
Heald Peak,,6901,35.590934,-118.309623
Bald Eagle Peak,,6181,35.544943,-118.478863
Lightner Peak,,6430,35.529417,-118.562765
Piute Lookout,,8326,35.479945,-118.359497
Breckenridge Mountain,,7560,35.451182,-118.587075
Piute Peak,,8440,35.449339,-118.388318
Sorrell Peak,,7704,35.417604,-118.289069
Cross Mountain,,5203,35.278922,-118.136734
Chuckwalla Mountain,,5029,35.272493,-118.09518
Cache Peak,,6698,35.221803,-118.250235
Bear Mountain,,6920,35.206486,-118.639498
Black Mountain,,5686,35.163222,-118.528719
Tehachapi Mountain,,7960,35.046867,-118.48479
Cummings Mountain,,7760,35.041589,-118.571466
Double Mountain,,7981,35.033254,-118.486726
Grapevine Peak,,4815,34.903037,-118.904484
State Line Peak,,7990,40.029873,-119.979398
Mission Peak,,5627,40.276278,-119.850581
Tule Peak,,8724,39.975924,-119.744207
Tohakum Peak,,8182,40.179387,-119.455121
Trinity Peak,,7337,40.232286,-118.745437
Juniper Mountain,,7474,40.234408,-119.074096
Nightingale Mountains High Point,,6942,40.044848,-119.246253
Freds Mountain,,7188,39.779072,-119.853312
Warm Springs Mountain,,6004,39.795279,-119.766614
Hungry Mountain,,5965,39.751409,-119.789416
Spanish Benchmark,,6161,39.650887,-119.769115
Curnow Range High Point,,6493,39.697277,-119.595966
Virginia Peak,,8366,39.755664,-119.461258
Juniper Peak,,7209,39.79542,-119.183253
Rattler Benchmark,,7337,39.400289,-119.529885
Mount Davidson,,7864,39.308294,-119.663526
Desert Peak,,5365,39.786145,-118.937843
Rocky 2 Benchmark,,5512,39.699424,-118.991147
Lahontan Benchmark,,5377,39.407767,-119.015152
Cleaver Peak,,6711,39.218463,-119.133382
Brown Knob,,6084,39.065266,-118.708778
Buffalo Mountain,,8206,40.222712,-118.129277
West Humboldt Range High Point,,6381,40.11599,-118.335489
Job Peak,,8785,39.583196,-118.235478
Rainbow Mountain,,4760,39.414119,-118.543903
Bunejug Mountains High Point,,4892,39.301059,-118.611501
Lava Benchmark,,4953,39.24639,-118.722927
Alkali Benchmark,,6104,39.210741,-118.537907
Blow Sand Mountains High Point,,5260,39.192407,-118.656527
Sand Springs Range High Point,,7467,39.105377,-118.349649
Mount Augusta,,9966,39.53993,-117.919605
Crown Peak,,6600,39.409333,-118.092463
Fairview Peak,,8303,39.225029,-118.152585
Bell Mountain,,7152,39.163521,-118.085534
Mount Anna,,6908,39.003279,-118.126364
Grayback Mountain,,7500,39.197422,-117.888886
Artesia Benchmark,,6915,39.028987,-119.371381
Mount Siegel,,9451,38.889564,-119.502187
Mount Wilson,,6778,38.850792,-119.220399
Desert Creek Peak,,8958,38.614075,-119.315631
East Sister,,10404,38.523362,-119.290252
Middle Sister-Northeast Ridge,,10560,38.509561,-119.292617
Middle Sister,,10854,38.50794,-119.295327
Mount Patterson,,11673,38.436643,-119.305163
Mount Grant,,11280,38.568409,-118.791119
Powell Mountain,,9527,38.327673,-118.699755
Brawley Peaks,,9520,38.251652,-118.921211
Potato Peak,,10237,38.234565,-119.086855
Mount Biedeman,,8962,38.152566,-119.068138
Glass Mountain,,11160,37.766342,-118.703809
Anchor Benchmark,,9062,38.237663,-118.683114
Anchorite Hills-Gregs Knoll,,8160,38.216018,-118.673189
Anchorite Hills-South Summit,,8810,38.153287,-118.698958
Moho Mountain,,8805,38.27961,-118.259687
Huntoon Benchmark,,8299,38.033873,-118.542134
Buckley Benchmark,,7888,38.682814,-118.550667
Mount Ferguson,,8353,38.657209,-118.160941
Pilot Peak,,9182,38.34301,-117.974093
Boundary Peak,,13140,37.84609,-118.35135
Montgomery Peak,,13441,37.838299,-118.356965
Mount Dubois,,13559,37.783365,-118.343216
White Mountain Peak,,14246,37.634144,-118.255718
Mount Barcroft,,13040,37.582263,-118.248301
Black Mountain,,9083,37.266937,-118.22532
Emigrant Peak,,6789,37.960377,-117.898902
Piper Peak,,9450,37.704288,-117.908942
Waucoba Mountain,,11123,37.021874,-118.007911
Mount Inyo,,10975,36.735229,-117.985686
Keynot Peak,,11101,36.707586,-117.962623
New York Butte,,10668,36.647932,-117.932666
